Come from Fsharp
2014-02-21 11:33:54 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:34:34 200 accounts make orders to MockOrder, cost time: max=0.5, min=0, average=0.0025
2014-02-21 11:35:14 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0050005
2014-02-21 11:35:54 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
2014-02-21 11:36:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:37:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:37:54 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
2014-02-21 11:38:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:39:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:39:54 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0050005
2014-02-21 11:40:34 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
2014-02-21 11:41:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:41:54 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:42:34 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.005001
2014-02-21 11:43:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:43:54 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.005001
2014-02-21 11:44:34 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
2014-02-21 11:45:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:45:54 200 accounts make orders to MockOrder, cost time: max=0.5, min=0, average=0.005
2014-02-21 11:46:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:47:14 200 accounts make orders to MockOrder, cost time: max=0.5, min=0, average=0.005
2014-02-21 11:47:54 200 accounts make orders to MockOrder, cost time: max=0.5, min=0, average=0.005
2014-02-21 11:48:34 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:49:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:49:54 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
